date,gross,fees,slippage,funding,net
2024-11-23,0.03110341333753393,-0.0,-0.0,-0.00016584700000000005,0.03093756633753393
2024-11-24,-0.027371985445262016,-0.0,-0.0,3.4545999999999937e-05,-0.027337439445262016
2024-11-25,-0.040030469929332485,-0.0004,-0.00023999999999999998,1.4383999999999991e-05,-0.04065608592933248
2024-11-26,-0.01037019118597,-0.0,-0.0,2.6331000000000003e-05,-0.010343860185970001
2024-11-27,-0.007882221322646776,-0.0,-0.0,4.319700000000001e-05,-0.007839024322646776
2024-11-28,0.009423391397414438,-0.0,-0.0,4.3944e-05,0.009467335397414438
2024-11-29,0.04089661008132692,-0.0,-0.0,-3.0023e-05,0.04086658708132692
2024-11-30,-0.03991102157996804,-0.0,-0.0,7.006399999999997e-05,-0.039840957579968035
2024-12-01,0.043463976062021514,-0.0,-0.0,0.00012272600000000003,0.04358670206202151
2024-12-02,-0.004519385387104072,-0.00030000000000000003,-0.00018,5.5911e-05,-0.004943474387104072
2024-12-03,-0.043742958097491375,-0.0,-0.0,0.000112996,-0.04362996209749138
2024-12-04,-0.01459190292085939,-0.0,-0.0,0.00014391700000000002,-0.01444798592085939
2024-12-05,-0.010808119876901057,-0.0,-0.0,-1.5398999999999925e-05,-0.010823518876901056
2024-12-06,0.0022512633830491955,-0.0,-0.0,-4.5738000000000015e-05,0.0022055253830491955
2024-12-07,0.025735822935129427,-0.0,-0.0,-5.198399999999998e-05,0.025683838935129426
2024-12-08,-0.002088617424551319,-0.0,-0.0,2.9746000000000064e-05,-0.002058871424551319
2024-12-09,0.0009464995395026751,-0.0006000000000000001,-0.00036,-4.500000000000021e-06,-1.8000460497324975e-05
2024-12-10,0.02382926230978917,-0.0,-0.0,0.00016051400000000003,0.02398977630978917
2024-12-11,-0.01622584111541975,-0.0,-0.0,8.2825e-05,-0.01614301611541975
2024-12-12,0.014863521715543847,-0.0,-0.0,4.1230000000000146e-06,0.014867644715543847
2024-12-13,-0.00422593758928368,-0.0,-0.0,-6.235000000000007e-06,-0.00423217258928368
2024-12-14,0.023673346953056163,-0.0,-0.0,4.226999999999999e-06,0.023677573953056162
